jarak_tempuh_km,durasi_kemacetan_menit,suhu_saat_ini,nilai_mkt_sejauh_ini,probabilitas_rusak,durasi_ekskursi_menit_final,nilai_mkt_final
10.6,29.98,5.94,5.68,0.0497,0,6.13
9.99,44.8,8.0,6.96,0.2812,30,7.73
7.64,33.76,6.63,5.53,0.0311,0,5.87
14.11,5.0,4.58,4.55,0.0,0,4.83
7.22,11.13,4.34,4.12,0.0086,0,4.21
2.53,13.16,5.09,5.09,0.0,0,5.36
6.66,15.47,6.64,6.28,0.0,0,6.6
14.66,33.92,6.23,5.42,0.0447,6,6.5
16.44,30.24,6.45,5.21,0.0,0,5.81
16.39,12.19,5.83,5.52,0.0093,0,5.77
2.99,4.05,5.07,5.0,0.0,0,4.98
15.94,10.29,5.75,5.18,0.0,0,5.54
18.92,59.06,7.24,6.12,0.1135,30,7.13
5.81,28.11,3.95,5.5,0.0,0,4.89
3.18,52.04,6.02,5.19,0.0,1,6.05
3.27,50.93,5.29,4.8,0.0,0,4.91
5.1,30.69,2.9,4.13,0.146,0,3.85
8.6,42.4,5.7,5.01,0.0559,0,5.63
6.51,11.57,4.04,3.88,0.0021,0,3.98
7.15,41.3,5.84,5.25,0.0389,0,5.63
7.66,16.34,5.35,5.14,0.0,0,5.32
4.61,49.92,6.75,6.32,0.0999,13,7.05
7.72,5.02,5.83,5.67,0.0,0,5.75
5.12,46.39,7.79,6.83,0.2874,20,7.72
16.04,6.0,4.85,4.54,0.0004,0,4.98
7.28,52.87,5.33,4.89,0.0373,0,5.35
3.55,18.25,5.61,5.43,0.0227,0,4.82
18.39,39.26,7.3,6.32,0.1192,27,7.29
14.81,29.25,5.25,4.97,0.0,0,5.6
2.73,21.98,5.5,4.75,0.0081,0,5.0
5.08,38.73,5.91,5.64,0.0657,0,5.98
5.19,56.85,5.1,4.52,0.0839,0,5.4
5.39,2.48,4.65,4.32,0.0,0,4.45
18.43,55.13,5.56,4.42,0.0427,9,5.79
14.89,36.54,4.99,4.52,0.046,0,5.19
10.17,48.44,5.79,4.82,0.0598,5,6.16
18.4,23.03,6.92,5.86,0.0655,0,6.36
7.82,28.31,6.2,5.89,0.0065,0,6.41
13.44,52.13,5.92,4.9,0.0806,18,6.48
6.5,24.89,2.65,3.41,0.0,0,3.26
6.57,32.08,6.91,6.44,0.0345,0,6.71
7.11,1.21,3.99,3.93,0.0,0,4.11
3.15,9.52,5.23,5.33,0.0,0,5.3
13.37,38.5,6.86,6.11,0.2934,30,7.48
5.74,43.02,4.99,5.52,0.0102,0,5.52
14.29,34.96,5.12,4.53,0.0366,0,5.14
8.48,8.6,5.2,4.74,0.0004,0,4.9
5.01,26.72,6.17,5.93,0.0,0,6.06
16.36,21.31,5.03,4.68,0.0216,0,5.63
5.12,29.74,6.38,5.75,0.0235,0,6.71
17.15,52.22,5.67,5.47,0.1911,18,6.74
11.9,46.55,6.25,5.41,0.051,0,6.16
18.56,5.04,6.48,6.06,0.0175,0,6.52
11.15,53.42,4.03,3.81,0.0,0,4.46
12.87,28.31,4.89,4.86,0.0,0,5.51
12.16,44.63,6.48,4.87,0.0,0,5.64
4.63,8.4,4.38,4.05,0.2093,9,3.29
3.66,40.24,5.94,5.38,0.0316,0,5.78
5.35,14.18,4.1,3.69,0.1061,0,4.26
9.75,26.3,4.45,5.26,0.0,0,5.3
8.87,1.01,3.42,3.61,0.0542,0,3.56
7.54,9.1,3.87,3.76,0.0218,0,4.06
13.75,5.52,3.82,3.86,0.0091,0,4.02
8.45,14.38,5.23,5.11,0.0,0,5.15
6.42,6.0,4.42,4.13,0.0,0,4.27
14.81,41.51,5.99,5.78,0.1643,15,6.87
4.85,1.74,3.38,3.46,0.0,0,3.48
16.28,37.06,5.08,4.5,0.0,0,4.94
7.52,8.44,4.75,4.36,0.0,0,4.48
18.41,56.71,7.16,5.93,0.1281,35,7.2
19.05,55.99,6.2,5.49,0.0188,4,6.17
6.44,13.53,5.21,5.22,0.0,0,5.47
4.91,36.87,4.3,3.8,0.0999,3,3.57
9.56,1.68,6.3,5.97,0.0,0,6.11
19.74,55.91,7.87,6.75,0.5562,73,9.01
9.11,31.38,6.05,6.04,0.0,0,6.78
8.04,2.59,5.02,5.09,0.0,0,5.12
3.42,20.55,4.32,3.75,0.0158,0,3.98
5.85,4.61,3.74,3.75,0.0058,0,3.92
4.57,23.58,6.3,5.98,0.0,0,5.79
13.83,40.2,5.24,4.38,0.0332,0,5.15
13.35,28.19,5.73,5.21,0.0,0,5.64
14.84,23.02,5.42,4.82,0.0258,0,5.64
3.44,7.15,6.36,5.87,0.008,0,6.03
5.48,14.7,5.23,4.81,0.0,0,5.27
14.18,6.01,4.33,3.89,0.0,0,4.24
15.74,48.45,4.7,5.12,0.0304,4,6.14
11.25,8.11,5.82,5.74,0.0,0,5.9
16.36,35.72,3.62,3.24,0.0335,0,3.93
8.41,20.56,5.48,5.14,0.0,0,5.72
2.22,13.56,5.84,5.57,0.0,0,5.8
7.42,38.37,5.94,5.34,0.0,0,6.01
10.58,27.42,5.82,5.64,0.0889,0,4.55
17.71,24.01,6.0,5.42,0.0,0,5.91
17.42,35.57,2.17,1.67,0.4566,58,1.63
10.74,29.48,7.09,6.39,0.0,0,6.92
13.84,18.21,4.36,4.06,0.0404,0,4.56
15.81,33.54,4.52,4.96,0.0,0,4.4
4.53,40.17,5.28,5.07,0.0,0,5.82
2.24,1.6,5.58,5.54,0.0,0,5.51
4.69,27.95,6.76,6.54,0.0,0,6.84
14.26,3.46,5.3,5.12,0.0,0,5.26
19.72,11.18,6.02,5.0,0.0014,0,5.29
10.07,33.63,6.81,6.18,0.0901,11,7.01
15.55,51.97,9.41,7.62,0.452,51,8.6
2.64,52.97,5.61,5.0,0.0301,0,5.78
8.92,4.2,6.11,5.86,0.0,0,5.91
12.68,25.15,3.47,3.46,0.0077,4,3.47
6.6,34.98,4.38,4.6,0.0217,0,4.58
7.8,8.82,4.4,4.56,0.0,0,4.48
7.82,45.93,7.03,5.91,0.0436,1,6.58
7.19,44.65,6.69,5.94,0.0571,0,6.14
15.57,54.2,5.71,4.65,0.005,12,6.37
12.38,0.51,4.38,4.22,0.0,0,4.2
6.41,13.0,4.86,4.79,0.0,0,4.97
7.58,49.63,4.71,4.23,0.0,1,5.63
6.54,40.23,6.44,5.45,0.0921,11,6.68
4.89,53.66,7.73,6.65,0.2262,24,7.46
6.41,3.43,3.84,3.71,0.0,0,3.77
16.31,35.82,6.65,5.81,0.1681,18,6.65
5.31,34.14,7.73,6.62,0.1026,6,6.99
8.74,2.14,2.06,1.86,0.2936,15,1.98
18.36,30.81,3.44,3.9,0.033,0,4.09
4.91,36.57,6.17,5.26,0.0,0,5.75
7.48,11.48,4.8,4.15,0.0341,0,4.67
17.32,16.4,6.13,5.76,0.0241,0,5.82
12.4,38.42,6.0,6.36,0.0424,0,6.13
17.7,28.1,3.98,3.91,0.1084,0,4.53
4.06,51.48,7.48,6.56,0.0814,7,7.28
15.23,20.54,6.22,5.57,0.0,2,6.6
19.9,16.0,4.73,4.2,0.0,0,4.96
5.09,59.09,5.37,5.04,0.0513,3,6.22
2.6,54.67,6.4,5.4,0.0,0,5.9
11.9,1.74,3.97,3.86,0.0314,0,3.93
5.59,46.24,5.14,4.87,0.0,0,4.97
5.22,6.62,4.37,4.17,0.0336,0,4.35
6.79,1.65,5.79,5.88,0.0073,0,5.91
14.74,16.42,0.57,2.41,0.5656,45,1.57
13.51,16.16,6.67,5.93,0.0062,0,6.51
13.3,49.16,5.74,5.14,0.0,6,6.24
5.48,42.64,6.72,6.3,0.0901,0,5.79
2.76,58.9,7.68,6.28,0.1009,17,6.94
18.87,42.69,8.55,7.02,0.2122,49,7.82
10.96,25.1,5.84,5.44,0.0074,0,5.38
4.44,41.94,4.43,5.44,0.0048,0,5.29
7.28,59.97,7.11,5.27,0.0855,15,6.23
16.76,42.61,5.97,5.46,0.2008,26,6.88
12.79,45.7,3.76,4.07,0.0,0,4.2
5.74,56.3,6.75,5.66,0.0,0,6.03
2.79,6.82,4.96,4.93,0.0,0,4.96
18.33,42.29,6.3,5.78,0.0914,11,6.71
3.21,51.05,5.72,5.47,0.0436,0,6.14
7.45,57.26,6.07,5.51,0.0,2,6.23
5.8,12.66,5.74,5.53,0.0,0,6.2
16.93,30.24,6.75,5.99,0.0159,0,6.28
3.81,40.83,4.4,4.04,0.0627,0,4.68
8.44,14.85,6.22,5.93,0.0,0,6.23
8.48,36.03,4.59,4.38,0.0,0,4.59
4.84,15.45,3.98,3.81,0.0,0,3.51
17.51,20.01,6.48,5.8,0.0,0,6.17
13.3,26.49,4.08,4.22,0.0,0,4.66
14.24,31.75,5.0,4.3,0.0082,0,4.41
12.11,26.96,5.79,5.16,0.0,0,6.06
10.87,29.59,5.7,5.57,0.0,0,6.14
2.89,17.92,4.36,4.2,0.0,0,4.41
6.88,9.54,4.83,5.0,0.0121,0,5.33
11.28,2.84,5.98,6.0,0.0306,0,6.03
2.78,11.76,4.2,4.09,0.0047,0,4.3
3.22,34.92,4.18,5.54,0.1211,0,5.34
11.86,47.17,6.89,5.69,0.0554,0,6.32
12.78,10.15,6.13,5.8,0.0,0,6.08
5.39,6.51,4.96,4.88,0.0,0,5.1
