sisa_jarak_km,durasi_kemacetan_menit,fluktuasi_mkt,probabilitas_rusak
187.27,44.8,-3.51,0.0591
475.36,39.9,-0.04,0.4211
366.0,21.1,1.77,0.3123
299.33,72.9,-4.57,0.3478
78.01,57.2,2.78,0.1621
78.0,103.9,-1.82,0.0209
29.04,3.9,-3.94,0.0484
433.09,77.3,0.39,0.5187
300.56,91.6,-2.62,0.2669
354.04,91.1,-1.7,0.6307
10.29,106.3,-2.51,0.0315
484.95,87.5,-3.54,0.7791
416.22,111.3,0.31,0.5968
106.17,39.9,-2.22,0.0238
90.91,60.4,-5.09,0.1177
91.7,1.7,-0.12,0.0363
152.12,0.8,-4.51,0.0568
262.38,28.8,-4.38,0.1437
215.97,12.1,1.48,0.1975
145.61,31.2,-4.49,0.0298
305.93,21.2,-7.29,0.1573
69.75,3.4,0.06,0.0131
146.07,109.1,-2.26,0.084
183.18,1.0,-2.04,0.0566
228.03,88.3,-2.29,0.3161
392.59,18.3,-0.92,0.218
99.84,109.5,-3.38,0.1029
257.12,107.1,2.19,0.4773
296.21,78.5,-5.19,0.2789
23.23,80.7,-0.39,0.0616
303.77,0.6,0.11,0.1678
85.26,118.2,-3.4,0.1452
32.53,105.3,-4.06,0.0489
474.44,107.4,1.04,0.7698
482.82,79.1,-3.98,0.7205
404.2,41.4,-3.02,0.4403
152.31,107.2,0.72,0.2095
48.84,35.0,-1.41,0.0219
342.12,67.5,-5.99,0.4585
220.08,12.0,2.87,0.2652
61.02,110.6,-2.83,0.1214
247.59,16.9,-2.51,0.0883
17.19,27.0,-0.86,0.0112
454.66,67.0,0.06,0.7282
129.39,91.7,3.4,0.503
331.26,74.3,-5.65,0.2515
155.86,27.9,0.56,0.0395
260.03,0.1,0.36,0.0548
273.36,90.9,-1.84,0.2429
92.43,118.2,0.47,0.3222
484.79,97.2,0.84,0.7399
387.57,55.2,-4.95,0.5381
469.75,108.5,2.87,0.9272
447.41,49.2,-5.4,0.3157
298.95,63.0,-4.34,0.1978
460.94,57.3,-2.15,0.3557
44.25,53.7,3.31,0.1442
97.99,93.0,-2.27,0.0593
22.61,63.2,-1.58,0.0131
162.67,38.0,2.08,0.3489
194.34,31.0,-2.25,0.0851
135.67,4.5,-4.45,0.0244
414.37,70.0,-2.54,0.4939
178.38,27.6,1.93,0.1278
140.47,17.8,-1.32,0.0116
271.35,78.5,3.33,0.9107
70.46,81.7,0.34,0.0825
401.1,90.3,-3.11,0.4423
37.28,60.4,-1.37,0.0139
493.44,107.3,-3.63,0.5768
386.12,112.4,-3.17,0.7506
99.36,96.9,9.7,0.9868
2.76,76.3,1.05,0.0887
407.73,36.4,0.65,0.2979
353.43,118.0,-3.06,0.7009
364.5,32.9,2.42,0.6431
385.64,24.3,1.25,0.5066
37.02,53.1,3.2,0.2206
179.23,6.8,3.08,0.1338
57.93,117.4,-5.2,0.0534
431.55,70.6,-4.27,0.4394
311.65,66.8,-4.01,0.3357
165.45,78.7,-3.86,0.0638
31.78,59.6,-0.69,0.0311
155.49,3.8,-2.92,0.036
162.59,73.5,3.68,0.6244
364.8,85.9,3.26,0.881
318.78,50.0,-1.52,0.1538
443.61,90.9,3.39,0.9596
236.11,27.2,2.22,0.1897
59.8,26.6,-2.63,0.0441
356.62,19.4,-6.52,0.1636
380.39,44.6,-2.04,0.3306
280.64,101.6,-3.11,0.3504
385.48,99.3,-0.98,0.5431
246.9,45.9,-1.28,0.1827
261.37,70.7,-1.34,0.24
213.77,86.5,-0.19,0.2496
12.71,28.9,-4.53,0.0234
53.95,20.2,-0.47,0.0122
15.71,116.7,-2.6,0.0766
318.21,74.1,-1.0,0.2451
157.18,117.8,0.89,0.1832
254.29,40.5,-4.56,0.1189
453.78,84.4,-2.2,0.6195
124.65,26.7,-1.8,0.0485
205.19,31.3,-2.79,0.1347
377.78,61.4,0.75,0.6334
114.4,38.4,-3.3,0.0551
38.49,20.1,-2.89,0.0258
144.88,31.5,-3.27,0.0562
80.61,4.3,1.23,0.0648
464.85,84.5,-2.73,0.6749
404.06,59.1,-0.35,0.3992
316.7,11.3,3.44,0.793
435.73,20.6,-1.69,0.2732
401.84,12.3,1.28,0.5974
93.29,73.5,2.68,0.1517
446.28,11.3,1.07,0.5714
269.67,90.5,-1.54,0.4337
403.72,2.5,0.11,0.1068
448.05,29.9,-4.72,0.402
159.0,106.9,-3.45,0.2198
55.03,86.2,-3.01,0.0666
113.97,8.8,4.1,0.3085
213.55,98.5,-3.53,0.2235
409.01,59.2,-3.57,0.2916
430.37,101.6,-4.11,0.839
3.48,72.1,-0.1,0.0255
255.37,81.8,-1.14,0.2665
208.71,119.2,1.22,0.3463
111.05,27.9,0.18,0.0144
59.93,74.9,-4.95,0.0336
168.81,55.2,-3.52,0.0454
471.45,4.7,1.91,0.7382
161.6,1.7,-2.01,0.0298
259.4,14.3,1.47,0.17
351.51,77.9,-1.87,0.2589
181.81,68.1,-3.92,0.1216
485.89,66.4,-2.26,0.5063
481.22,3.8,-3.92,0.4758
125.89,56.3,-2.91,0.0761
248.62,111.0,-1.0,0.2437
150.44,47.7,-0.22,0.1038
142.42,75.0,-5.48,0.0969
18.44,93.6,-1.54,0.0503
304.78,94.1,-2.97,0.2007
251.34,62.3,-3.12,0.1694
25.74,103.0,-1.17,0.0698
139.32,47.0,-2.88,0.1177
454.13,106.6,1.96,0.822
119.78,28.8,1.47,0.252
72.45,33.6,1.45,0.0941
244.73,6.4,-2.74,0.0389
492.83,95.5,-3.91,0.6111
121.03,50.0,-1.29,0.112
336.07,27.5,-1.88,0.3149
380.81,27.8,-3.02,0.2636
118.82,108.2,-4.44,0.1356
364.11,100.1,-1.6,0.3389
183.89,66.4,-2.51,0.2023
316.15,73.9,0.22,0.2274
316.76,56.9,0.16,0.3562
267.89,47.0,1.25,0.4441
45.14,109.9,-4.65,0.0782
417.65,15.1,-0.5,0.3896
160.39,50.2,-3.32,0.1766
93.26,41.3,-4.55,0.0474
20.39,59.8,-2.57,0.0285
295.45,54.9,1.17,0.3446
338.78,62.3,-2.43,0.2267
8.29,16.8,2.41,0.0424
256.05,61.6,-0.13,0.213
113.25,29.1,-2.49,0.0377
322.59,22.1,1.4,0.3581
87.18,7.8,-0.39,0.0118
345.47,91.5,-3.83,0.399
193.37,51.3,3.15,0.5547
468.36,75.2,-0.85,0.454
68.76,87.3,-1.45,0.0671
170.53,81.5,-3.64,0.0552
56.74,56.5,1.45,0.0482
462.35,46.5,-0.21,0.5746
438.67,45.1,0.07,0.3954
128.97,76.8,-2.77,0.197
329.99,59.4,0.59,0.4008
408.61,101.9,0.78,0.737
277.6,105.0,-3.17,0.2239
264.83,20.5,-5.04,0.0939
120.93,16.3,-0.05,0.0252
46.55,75.6,-5.43,0.0286
448.61,36.1,-1.12,0.4908
450.21,2.2,-2.62,0.3935
316.55,106.6,1.55,0.6812
169.51,27.2,-2.48,0.0411
174.6,111.5,1.27,0.3766
362.98,86.1,-2.79,0.2208
448.56,91.5,1.0,0.8485
443.54,24.2,3.65,0.7216
389.94,28.1,-4.17,0.1796
321.02,62.6,-0.77,0.2817
42.07,20.7,5.37,0.3709
80.81,36.7,-1.33,0.0342
449.28,38.6,-1.35,0.2927
303.21,19.2,0.47,0.2814
4.6,24.6,-1.4,0.0071
50.74,94.6,-5.77,0.0318
331.75,20.1,1.33,0.31
2.53,3.4,-6.51,0.0063
80.4,75.5,-2.54,0.1079
274.37,117.1,1.52,0.4437
345.95,39.7,-2.39,0.4115
325.98,14.2,-3.23,0.2385
112.13,68.4,0.7,0.1766
356.09,108.8,-3.63,0.7158
118.62,94.1,-4.56,0.1092
162.7,74.7,-0.81,0.0702
373.25,37.8,-1.96,0.2692
324.82,65.0,-4.61,0.2298
424.61,10.9,0.09,0.2248
328.81,81.5,-0.34,0.3608
284.15,87.0,-2.4,0.254
46.84,115.8,-2.23,0.0593
183.86,31.2,-0.32,0.064
132.6,2.2,1.48,0.0957
121.99,65.5,-2.21,0.1127
486.51,84.8,0.14,0.4862
196.55,94.8,-0.09,0.1602
446.02,23.2,0.7,0.4416
315.57,31.4,-1.4,0.1095
397.41,61.5,-3.78,0.3875
251.32,39.7,-2.66,0.1394
288.45,103.3,-0.64,0.4052
246.26,56.9,3.05,0.5471
97.62,95.9,-2.71,0.0618
361.23,69.7,0.51,0.6788
140.39,92.8,-2.32,0.1721
12.16,39.9,-1.22,0.0285
322.74,99.8,2.29,0.8106
88.56,32.9,0.41,0.0508
470.23,65.5,-4.6,0.7085
476.96,25.7,-2.93,0.4328
457.43,57.1,1.64,0.7312
185.08,38.2,-1.15,0.1063
7.73,32.0,-4.37,0.0403
464.16,116.0,-3.55,0.8468
214.09,19.2,0.26,0.1143
483.33,94.5,0.99,0.8367
481.81,118.1,-1.46,0.8137
426.5,2.4,4.69,0.905
147.22,83.9,0.56,0.2538
192.55,30.3,-2.11,0.0677
425.57,4.9,-3.54,0.4101
158.46,48.3,-3.94,0.0882
84.75,112.2,-0.66,0.1403
278.4,1.4,-2.72,0.1736
468.08,70.5,2.68,0.9078
348.01,60.2,2.17,0.7199
285.03,104.8,0.08,0.3116
48.59,10.1,-4.45,0.0388
307.5,81.8,-3.18,0.3857
495.03,81.6,1.64,0.8495
70.04,80.3,-2.91,0.1011
259.16,113.1,1.31,0.7936
438.69,98.8,-0.31,0.4767
370.38,5.0,-1.37,0.1343
348.51,56.5,-3.26,0.6174
351.24,47.8,-1.74,0.3186
179.75,37.2,-1.03,0.0825
146.8,54.2,1.08,0.1276
404.68,46.1,-3.71,0.5083
405.06,51.9,-2.16,0.6951
433.54,117.5,-1.39,0.5983
456.62,10.6,0.16,0.3448
255.67,110.7,-3.77,0.2749
250.76,57.6,-4.79,0.2204
399.15,74.8,0.18,0.6314
324.98,99.6,-5.29,0.5998
350.98,43.3,1.71,0.5909
397.9,51.7,-1.89,0.6721
445.0,49.1,-5.37,0.3798
169.0,45.0,-2.7,0.0526
187.79,111.1,-0.55,0.355
46.99,99.5,-2.83,0.0711
289.14,13.1,-1.45,0.0642
17.97,13.0,0.35,0.0162
232.8,51.3,-2.01,0.1494
271.32,11.8,-3.84,0.0776
143.27,74.3,-2.25,0.0603
295.42,17.2,2.04,0.3187
15.25,62.7,2.71,0.0877
18.67,0.9,-6.55,0.0176
411.3,38.0,1.23,0.2942
180.1,81.3,-0.87,0.1425
63.53,58.1,0.81,0.0851
261.12,117.4,-2.88,0.3328
385.0,104.9,-5.92,0.6682
107.91,43.1,-0.04,0.0247
311.45,5.5,-3.85,0.093
42.67,101.5,-4.97,0.0572
25.84,109.3,-4.8,0.0914
265.68,98.5,0.0,0.3129
270.32,15.4,-1.15,0.262
318.71,119.7,0.46,0.4297
363.05,31.0,0.17,0.1513
487.93,86.9,-2.55,0.8322
258.15,109.0,-1.68,0.1801
161.48,28.3,-2.78,0.08
397.59,109.0,-2.03,0.4567
135.42,37.1,-3.92,0.02
219.49,117.2,-0.52,0.2361
39.23,33.8,1.19,0.0746
12.68,114.4,-3.54,0.0358
481.32,6.4,1.7,0.6807
417.99,85.1,-1.22,0.6229
347.99,63.9,-0.9,0.1987
204.48,57.3,-5.75,0.1074
86.65,26.8,-6.02,0.0681
78.22,84.7,-1.14,0.0929
125.12,22.9,0.47,0.0473
274.61,66.3,-3.18,0.2497
357.3,30.4,2.68,0.5192
330.1,114.7,0.34,0.6503
139.97,3.4,-3.77,0.0589
477.43,24.0,-1.42,0.4352
368.95,29.1,4.69,0.8604
277.18,49.7,-4.61,0.1154
305.86,27.9,-0.18,0.0903
209.8,59.0,-2.31,0.1066
123.87,104.7,0.27,0.1392
177.99,85.4,1.67,0.4348
378.92,69.6,-2.47,0.5091
7.2,10.7,1.3,0.0319
58.04,83.3,4.05,0.5598
23.0,20.0,-1.33,0.0111
20.36,94.4,0.46,0.1086
427.73,30.0,-2.98,0.2644
351.83,50.0,-1.45,0.4219
237.09,42.1,-1.94,0.1214
48.92,103.1,0.49,0.0367
245.81,15.2,1.51,0.2624
